id,locality,post_code,,
27953,Erin Vale,2663,,
27954,Estella,2650,,
27955,Ettamogah,2640,,
27956,Euberta,2650,,
27957,Eucumbene,2628,,
27958,Eucumbene Cove,2628,,
27959,Euroley,2700,,
27960,Eurongilly,2663,,
27961,Faithfull,2700,,
27962,Fargunyah,2656,,
27963,Farringdon,2622,,
27964,Finley,2713,,
27965,Forbes Creek,2621,,
27966,Forest Hill,2651,,
27967,Four Corners,2716,,
27968,French Park,2655,,
27969,Frogmore,2586,,
27970,Frying Pan,2630,,
27971,Fullerton,2583,,
27972,Gadara,2720,,
27973,Gala Vale,2716,,
27974,Galong,2585,,
27975,Galore,2650,,
27976,Ganmain,2702,,
27977,Garangula,2587,,
27978,Geehi,2642,,
27979,Gelston Park,2650,,
27980,Gerogery,2642,,
27981,Gidginbung,2666,,
27982,Gillenbah,2700,,
27983,Gilmore,2720,,
27984,Girral,2669,,
27985,Glen Allen,2631,,
27986,Glen Fergus,2630,,
27987,Glenellen,2642,,
27988,Glenerin,2583,,
27989,Glenfield Park,2650,,
27990,Glenroy,2640,,
27991,Glenroy,2653,,
27992,Goba Creek,2586,,
27993,Gobarralong,2727,,
27994,Gobbagombalin,2650,,
27995,Gocup,2720,,
27996,Godfreys Creek,2586,,
27997,Gogeldrie,2705,,
27998,Golspie,2580,,
27999,Goobarragandra,2720,,
28000,Good Hope,2582,,
28001,Googong,2620,,
28002,Goolgowi,2652,,
28003,Goombargana,2646,,
28004,Goulburn,2580,,
28005,Goulburn North,2580,,
28006,Grabben Gullen,2583,,
28007,Grabine,2583,,
28008,Grahamstown,2729,,
28009,Green Hills,2730,,
28010,Greenlands,2631,,
28011,Greenleigh,2620,,
28012,Greenmantle,2583,,
28013,Greenwich Park,2580,,
28014,Greg Greg,2642,,
28015,Gregadoo,2650,,
28016,Griffith,2680,,
28017,Griffith East,2680,,
28018,Grogan,2666,,
28019,Grong Grong,2652,,
28020,Grosses Plain,2627,,
28021,Grubben,2658,,
28022,Gulpa,2710,,
28023,Gumly Gumly,2652,,
28024,Gunbar,2711,,
28025,Gundagai,2722,,
28026,Gundaroo,2620,,
28027,Gundary,2580,,
28028,Gundillion,2622,,
28029,Gunning,2581,,
28030,Gunningrah,2632,,
28031,Gurrundah,2581,,
28032,Hadley,2583,,
28033,Hamilton Valley,2641,,
28034,Hanwood,2680,,
28035,Harden,2587,,
28036,Harefield,2650,,
28037,Harolds Cross,2622,,
28038,Hartwood,2710,,
28039,Hay,2711,,
28040,Hay South,2711,,
28041,Henty,2658,,
28042,Hereford Hall,2622,,
28043,Hill Plain,2710,,
28044,Hill Top,2627,,
28045,Hillgrove,2650,,
